"","caseid","region","gender","educ","edloan","race","hispanic","employ","marstat","pid7","ideo5","pew_religimp","newsint","faminc_new","union","investor","CC18_308a","CC18_310a","CC18_310b","CC18_310c","CC18_310d","CC18_325a","CC18_325b","CC18_325c","CC18_325d"
"514",419297676,1,2,6,2,6,1,1,5,2,2,3,2,5,3,1,4,2,3,3,3,1,1,1,2
"515",412336474,2,2,2,2,1,2,5,6,1,1,2,1,3,3,2,4,2,2,2,3,1,1,1,1
"516",417087530,2,2,2,2,1,2,5,1,7,4,3,1,9,3,1,1,2,2,3,2,1,2,1,1
"517",414366778,1,1,3,1,3,2,1,6,3,1,1,1,4,3,2,3,3,3,2,3,2,2,1,1
"518",418632275,2,1,5,1,1,2,2,5,3,1,4,1,2,3,2,4,2,3,2,2,2,1,1,1
"519",416280754,2,2,2,2,1,2,1,1,1,1,4,2,3,3,2,4,2,2,3,3,2,2,1,2
"520",412954047,1,2,3,2,1,2,5,1,7,4,1,1,15,3,1,1,3,3,3,2,1,2,1,1
"521",417080384,2,1,6,2,1,2,5,1,6,5,3,1,11,2,1,2,2,2,3,3,1,1,1,1
"522",417619271,3,1,6,2,1,2,9,1,3,3,3,1,5,2,1,4,3,3,3,2,2,1,2,1
"523",414805229,3,1,3,2,2,2,1,4,1,2,2,1,7,3,2,4,2,2,4,2,2,1,1,2
"524",417553299,4,2,5,2,1,2,1,5,1,1,4,1,10,3,2,4,3,3,3,3,2,1,2,1
"525",412894794,1,2,2,2,1,2,5,1,4,4,2,2,4,3,2,2,3,3,3,3,2,1,2,1
"526",413531689,1,2,5,1,2,2,1,5,2,1,2,3,4,2,2,4,5,5,5,5,2,1,1,1
"527",412284869,3,2,3,2,1,2,6,3,3,3,1,1,3,3,1,4,2,2,2,2,2,2,2,1
